record_id,district,place_name,latitude,longitude,elevation_m,distance_to_river_m,landcover,soil_type,water_supply,electricity,road_quality,population_density_per_km2,built_up_percent,urban_rural,rainfall_7d_mm,monthly_rainfall_mm,drainage_index,ndvi,ndwi,water_presence_flag,historical_flood_count,infrastructure_score,nearest_hospital_km,nearest_evac_km,flood_risk_score,flood_occurrence_current_event,inundation_area_sqm,is_good_to_live,reason_not_good_to_live,is_synthetic,generation_date,distance_to_river_m_log1p,population_density_per_km2_log1p,rainfall_7d_mm_log1p,monthly_rainfall_mm_log1p,nearest_hospital_km_log1p,nearest_evac_km_log1p,elevation_m_yeojohnson,drainage_index_yeojohnson,ndvi_qmap,ndwi_qmap,built_up_percent_qmap,seasonal_index,terrain_roughness_index,socioeconomic_status_index,extreme_weather_index,generation_year,generation_month,generation_day,generation_dayofyear,generation_quarter,generation_date_missing,distance_to_river_m_invalid_flag,distance_to_river_m_clipped,rainfall_7d_mm_invalid_flag,rainfall_7d_mm_clipped,monthly_rainfall_mm_invalid_flag,monthly_rainfall_mm_clipped,built_up_percent_invalid_flag,built_up_percent_clipped,drainage_index_invalid_flag,drainage_index_clipped,ndvi_invalid_flag,ndvi_clipped,ndwi_invalid_flag,ndwi_clipped,elevation_m_invalid_flag,elevation_m_clipped
F100020,Gampaha,Udaranuwara North,6.049129,79.951167,70.0,2771.9,Scrub,Clay,Surface water,Grid,Good (paved),2455.0,48.3,Urban,124.6,95.0,0.285,0.036,-0.0,Unlikely,0.0,52.0,14.24,2.21,0.2567,Yes,3813,No,Other,True,2025-10-16,8.08926703716532,7.806289289267033,5.169343333853107,5.171452678992202,2.7239235502585,1.1662709371419244,18.802942898570727,0.2647525698110523,-0.4864803604206453,-0.1118896402415852,1.1546146901626584,-1.0829746034428211,0.5690142678068772,0.6486443434257689,0.7656770067339337,2025,10,16,289,4,0,0,2771.9,0,124.6,0,95.0,0,48.3,0,0.285,0,0.036,0,-0.0,0,70.0
F100022,Vavuniya,Panakumbura West,9.65268,80.757262,33.0,7827.3,Wetland,Loamy,Municipal,Grid,Good (paved),10.0,1.0,Rural,52.9,258.7,0.204,0.027,0.054,Likely,0.0,69.0,0.33,1.11,0.7813,No,1728,No,Other,True,2024-04-14,9.025780041043436,2.3978952727983707,4.645345809275388,5.828564871539324,0.2851789422336624,0.7466879474879752,11.652840654860071,0.1932474004848328,-0.5206614945725153,0.0942319252397101,-5.199337582605575,1.1033741040586205,0.6152970310001434,0.337848570873803,0.7716365297534692,2024,4,14,105,2,0,0,7827.3,0,52.9,0,258.7,0,1.0,0,0.204,0,0.027,0,0.054,0,33.0
F100024,Ampara,Galanuwara Central,6.048567,80.217983,84.0,1433.6,Agriculture,Peaty,Well,Grid,Good (paved),543.0,2.5,Rural,66.4,170.1,0.625,-0.17,0.055,Unlikely,0.0,76.0,12.45,4.14,0.5387,No,5325,No,Other,True,2025-08-20,7.560599991706417,6.298949246855942,4.767283576992222,5.526530330558104,2.598979106047848,1.6370530794670737,21.068008817246273,0.5398070963599344,-1.250178700248664,0.0967525295503842,-1.0867695294696786,-0.4298913036379214,0.6591098291717883,0.4894525470734076,0.6711020405284339,2025,8,20,232,3,0,0,1433.6,0,66.4,0,170.1,0,2.5,0,0.625,0,-0.17,0,0.055,0,84.0
F100025,Mannar,Kiriwatta Central,8.266008,81.307851,175.0,1662.3,Plantation,Peaty,Tube-well,Grid,Fair,867.0,1.0,Rural,30.9,279.5,0.591,0.035,0.199,Likely,0.0,42.0,29.53,4.05,0.0332,No,1578,No,Poor infrastructure,True,2024-05-14,7.67308253002573,6.7661917146603505,4.407930197736086,5.887964995940147,3.4187098067467865,1.6193882432872684,33.08030287529467,0.5138800658135787,-0.4893066346558384,0.645630749275982,-5.199337582605575,1.0279057887187564,0.8658793202975863,0.5302291672417729,0.7801411456332307,2024,5,14,135,2,0,0,1662.3,0,30.9,0,279.5,0,1.0,0,0.591,0,0.035,0,0.199,0,175.0
F100027,Trincomalee,Ihalamulla East,8.672515,79.847703,45.0,1863.3,Plantation,Missing,Tube-well,Grid,Poor (unpaved),142.0,16.2,Rural,-43.269318155975995,306.9,0.369,0.524,-0.111,Unlikely,0.0,48.0,8.04,14.31,0.3987,Yes,4451,No,Other,True,2024-04-17,7.762467478127629,4.962844630259907,2.0706580708715263,5.961187207046399,2.201659174404085,2.728506209669592,14.223663839643995,0.3362381317564209,1.2529876254001933,-0.551075993139237,-0.3668730515305163,1.0405267659141515,0.8450562725236748,0.476775290587502,0.4326899793602595,2024,4,17,108,2,0,0,1863.3,1,0.0,0,306.9,0,16.2,0,0.369,0,0.524,0,-0.111,0,45.0
F100028,Vavuniya,Galakumbura Central,9.452662,80.533001,34.0,946.2,Scrub,Loamy,Well,Grid,Poor (unpaved),840.0,1.0,Rural,31.9,332.7,0.27,-0.119,-0.1,Unlikely,0.0,51.0,17.95,9.32,0.6168,No,8455,No,Other,True,2024-06-07,7.267942473016691,6.734591659972948,4.420036977227584,6.025553294456503,2.941803931528435,2.334083760053417,11.880243289322328,0.2517091864271056,-1.053106263987631,-0.507774333474583,-5.199337582605575,0.7248192383618204,0.532704510476568,0.4573672031868019,0.528410982151517,2024,6,7,159,2,0,0,946.2,0,31.9,0,332.7,0,1.0,0,0.27,0,-0.119,0,-0.1,0,34.0
F100030,Trincomalee,Welimedura,7.300069,80.058595,41.0,4781.8,Forest,Loamy,Rainwater harvesting,Grid,Fair,10.0,46.9,Rural,604.0215454019168,220.7,0.394,0.152,0.118,Likely,0.0,15.0,10.67,16.34,0.0,Yes,5604,No,Other,True,2024-10-28,8.569633400419983,2.3978952727983707,6.4849724360093735,5.709998352588264,2.4570214462984645,2.853015971352396,13.40188949590443,0.3570275829023487,-0.0514600200966289,0.329547705774435,1.0988685719132687,-1.0863935314147202,0.6998766766148636,0.4556100813597223,1.0,2024,10,28,302,4,0,0,4781.8,0,604.0215454019168,0,220.7,0,46.9,0,0.394,0,0.152,0,0.118,0,41.0
F100031,Puttalam,Nayakumbura East,6.397384,80.180789,163.0,361.9,Agriculture,Loamy,Municipal,Grid,Fair,575.0,13.0,Rural,171.8,89.5,0.726,0.363,-0.062,Unlikely,1.0,55.0,7.08,0.2,0.133,No,5472,No,Other,True,2025-06-13,6.744409832002221,6.3561076606958915,5.407168892915209,5.139735212929606,2.089391872533004,0.1823215567939546,31.679685579196477,0.6150481127853223,0.6927148969290061,-0.3628502975135264,-0.5249763962160622,0.3265099511914161,0.7807471093849457,0.5098353599988725,0.8551179225476987,2025,6,13,164,2,0,0,361.9,0,171.8,0,89.5,0,13.0,0,0.726,0,0.363,0,-0.062,0,163.0
F100032,Polonnaruwa,Nayathota East,6.905317,80.949672,47.0,361.9,Agriculture,Loamy,Municipal,Grid,No road access,234.0,36.3,Rural,580.6167602823581,60.7,0.335,-0.118,-0.403,Unlikely,0.0,29.0,5.05,5.88,0.14675,Yes,13009,No,High flood risk; Poor infrastructure; No road access,True,2024-08-19,6.744409832002221,5.459585514144159,6.448598399862392,4.95491516996695,1.80005827204275,1.928618651945252,14.623306654847912,0.3076136914144348,-1.048747612726431,-1.6806471699920589,0.6333171952445416,-0.5582561825178192,1.2267133174142466,0.4502317675840374,0.9338078088443278,2024,8,19,232,3,0,0,361.9,0,580.6167602823581,0,60.7,0,36.3,0,0.335,0,-0.118,0,-0.403,0,47.0
F100035,Ratnapura,Udarakumbura East,8.427803,80.571176,19.0,1606.1,Plantation,Clay,Surface water,Grid,Poor (unpaved),10.0,10.2,Rural,137.7,195.0,0.237,0.889,0.168,Likely,0.0,43.0,33.28,4.48,0.0,Yes,10743,No,High flood risk; Poor infrastructure,True,2025-08-22,7.646591510890169,2.3978952727983707,5.241214376330218,5.621018685614299,3.534562093729579,1.7011051009599245,8.10143525504057,0.2227008518451778,2.411437554978388,0.5235370133423165,-0.6674190444558503,-0.4393229810584302,0.8524414800226372,0.3452817403401118,1.0,2025,8,22,234,3,0,0,1606.1,0,137.7,0,195.0,0,10.2,0,0.237,0,0.889,0,0.168,0,19.0
F100036,Mannar,Polakanda East,8.699449,81.187164,38.0,3458.5,Forest,Sandy,Municipal,Grid,Fair,854.0,22.3,Rural,15.1,250.3,0.55,0.528,-0.333,Unlikely,0.0,61.0,4.15,8.84,0.5328,No,2985,No,Other,True,2024-05-30,8.280431774029639,6.75110146893676,4.194180215175247,5.803539030352603,1.6389967146756448,2.286455711064162,12.76386038826094,0.482190928894613,1.2696643851806635,-1.409774905768007,-0.051460020096629,0.9616198942156312,0.7946838629359755,0.3992878614930227,0.7786975586796633,2024,5,30,151,2,0,0,3458.5,0,15.1,0,250.3,0,22.3,0,0.55,0,0.528,0,-0.333,0,38.0
F100039,Badulla,Nayamedura Central,7.882171,80.147721,1127.0,69.1,Plantation,Silty,Rainwater harvesting,Mixed,Fair,490.0,1.0,Rural,144.3,204.5,0.798,0.475,0.056,Unlikely,0.0,31.0,10.32,0.41,0.37915,Yes,45391,No,High flood risk; Poor infrastructure,True,2024-06-30,6.321663128283254,6.19644412779452,5.275557095969436,5.654839297201241,2.4265710727750367,0.3435897043900769,100.82575226912324,0.6671624151517732,1.0887225007402812,0.1005345939877049,-5.199337582605575,0.6355411759224955,1.2319405323657806,0.3936072649277563,0.8041128157127089,2024,6,30,182,2,0,0,69.1,0,144.3,0,204.5,0,1.0,0,0.798,0,0.475,0,0.056,0,1127.0
F100040,Puttalam,Kirithota,9.156107,80.861403,123.0,1468.6,Agriculture,Sandy,Well,Missing,Good (paved),700.0,38.2,Rural,44.3,130.0,0.254,-0.039,-0.169,Unlikely,0.0,12.0,3.28,4.44,0.5179,No,2831,No,Other,True,2024-05-11,7.578655700487223,6.55250788703459,4.55911952584534,5.352666200159379,1.4539530095937054,1.6937790608678511,26.66631290096543,0.2376989616228908,-0.7647096737863871,-0.7748328448180759,0.7184619962535121,0.7920739341054968,0.5697472012000192,0.382683570245391,0.5996229293660438,2024,5,11,132,2,0,0,1468.6,0,44.3,0,130.0,0,38.2,0,0.254,0,-0.039,0,-0.169,0,123.0
F100043,Matara,Kudavila East,9.770389,81.589787,82.0,1600.8,Agriculture,Silty,Municipal,Grid,Fair,775.0,16.8,Rural,3.9,117.2,0.717,0.431,-0.283,Unlikely,0.0,50.0,12.77,6.45,0.4947,No,4226,No,Other,True,2024-12-21,7.644056652559647,6.654152520183219,4.009138066098429,5.290136852080682,2.6224923127405635,2.0082140323914683,20.754550080549873,0.608447199708461,0.9339099412610544,-1.205071906652647,-0.3295477057744347,-0.4391854701988866,1.3057145293949506,0.4740585351298413,0.6400803892824715,2024,12,21,356,4,0,0,1600.8,0,3.9,0,117.2,0,16.8,0,0.717,0,0.431,0,-0.283,0,82.0
F100044,Badulla,Kirimulla West,6.53723,80.0109,656.0,813.0,Agriculture,Clay,Surface water,Mixed,Fair,545.0,8.7,Rural,16.6,302.2,0.682,0.038,-0.149,Unlikely,0.0,34.0,0.07,10.24,0.7271,Yes,4814,No,Poor infrastructure,Missing,2025-01-17,7.17042545849204,6.302618975744905,4.216552727134701,5.949002069651046,0.0676586484738148,2.419478844465545,73.15903649145032,0.5825874691193648,-0.4780246892786106,-0.6959079368789585,-0.7596773891978573,0.0534736879149253,0.7094325296008994,0.4046487295313981,0.6968840738067521,2025,1,17,17,1,0,0,813.0,0,16.6,0,302.2,0,8.7,0,0.682,0,0.038,0,-0.149,0,656.0
F100047,Trincomalee,Pahalakanda Central,8.179139,80.710948,64.0,1567.2,Urban,Sandy,Municipal,Grid,Fair,324.0,11.3,Urban,101.1,158.9,0.519,-0.043,-0.116,Unlikely,0.0,56.0,4.54,24.94,0.7784,Yes,5997,No,Other,True,2023-12-19,7.627835365868173,5.783825182329737,5.025848045088615,5.480932925857596,1.7119945007591926,3.255786178888298,17.77548656535047,0.4579118811289341,-0.7799242980174863,-0.5731153914071754,-0.6104835432900302,-0.6654421044733861,0.7930655196796046,0.6481198353178189,0.8556593817223306,2023,12,19,353,4,0,0,1567.2,0,101.1,0,158.9,0,11.3,0,0.519,0,-0.043,0,-0.116,0,64.0
F100049,Anuradhapura,Ihalakanda East,6.218243,80.543077,51.0,284.8,Scrub,Clay,Municipal,Grid,Good (paved),989.0,31.5,Rural,171.9,347.9,0.644,0.324,0.159,Likely,0.0,62.0,13.6,3.61,0.2731,Yes,7034,No,Other,True,2024-07-12,6.649240670579255,6.897704943128636,5.407617224183827,6.061621406511685,2.681021528714291,1.5282278570085572,15.402260397180797,0.5541610277742564,0.5539989277153303,0.4893066346558385,0.4074415930121481,0.165464565183442,0.7112204228252136,0.5034929024596798,0.7201405001427633,2024,7,12,194,3,0,0,284.8,0,171.9,0,347.9,0,31.5,0,0.644,0,0.324,0,0.159,0,51.0
F100050,Mannar,Ihalanuwara South,6.065054,80.018999,107.0,1154.7,Wetland,Clay,Well,Grid,Good (paved),645.0,48.2,Rural,193.7,167.4,0.297,0.226,-0.199,Likely,0.0,56.0,1.99,3.25,0.1332,Yes,8191,No,Other,True,2025-05-16,7.403729819538231,6.470799503782602,5.500847342825283,5.5157267930558245,1.095273387402595,1.4469189829363254,24.47432966356914,0.2751248405520194,0.2187730686115843,-0.8883093448377877,1.1521748037349775,0.7898694632000425,0.8124527395613719,0.3577056710869157,0.8989908972375659,2025,5,16,136,2,0,0,1154.7,0,193.7,0,167.4,0,48.2,0,0.297,0,0.226,0,-0.199,0,107.0
F100051,Trincomalee,Panapola East,6.943616,80.690902,4.0,4054.0,Agriculture,Clay,Municipal,Grid,No road access,729.0,35.7,Rural,64.9,1424.1509209619128,0.228,-0.308,-0.143,Unlikely,1.0,49.0,7.99,7.93,0.3025,Yes,4774,No,No road access,True,2024-07-07,8.420990118187206,6.593044534142437,4.7544463597084485,7.316761770276773,2.196112848483529,2.189416394888408,2.6652056774991015,0.214713024700074,-1.7861555612610769,-0.6768541480424048,0.6104835432900303,0.0508682942698274,1.0102641908143004,0.4205145177507333,0.8032192131670245,2024,7,7,189,3,0,0,4054.0,0,64.9,0,1424.1509209619128,0,35.7,0,0.228,0,-0.308,0,-0.143,0,4.0
F100052,Kilinochchi,Kudakanda West,7.541506,81.004175,25.0,2002.3,Agriculture,Sandy,Municipal,Grid,Good (paved),519.0,1.0,Rural,188.8,63.3,0.63,-0.118,-0.407,Unlikely,0.0,60.0,7.3,3.03,0.5434,No,5598,No,Other,True,2025-02-09,7.819916596705789,6.253828811575473,5.480636248694285,4.973075825753728,2.1162555148025524,1.3937663759585917,9.720727875943457,0.5435936928540979,-1.048747612726431,-1.7055704338395008,-5.199337582605575,0.455291096609132,0.9749325302014824,0.4316868359918305,0.8492799248799245,2025,2,9,40,1,0,0,2002.3,0,188.8,0,63.3,0,1.0,0,0.63,0,-0.118,0,-0.407,0,25.0
